DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
14-12-20,73.2,74.1,72.85,73.45,1448570,2636
11-12-20,73.45,74.1,72.2,72.8,2306227,3988
10-12-20,72.7,73.45,71,72.6,3001118,9034
09-12-20,72.9,75,71.95,73.15,6022387,15372
08-12-20,73.2,73.2,70.25,72.05,2918455,5668
07-12-20,72.9,73.35,71.2,71.6,3134581,11380
04-12-20,71.5,73.6,69.4,71.65,4811985,13856
03-12-20,68.5,69.65,67.6,69.2,2601564,9597
02-12-20,69.15,69.7,66.75,67.95,3092398,5389
01-12-20,65.45,69.35,65,68.75,3942270,14555
27-11-20,63.35,65.25,62.4,64.95,2014074,5747
26-11-20,62.2,62.7,61.15,62.35,2647605,6389
25-11-20,60.55,63.85,60.3,61.5,6240012,16446
24-11-20,59.65,60.15,58.4,59.95,1449313,4444
23-11-20,58.55,59.7,57.85,58.85,1671148,4017
20-11-20,59.3,59.85,56.7,58.1,1831138,5021
19-11-20,60.55,61.45,58.8,59.2,2028172,6264
18-11-20,57.9,61.2,57.8,60.65,3896896,10345
17-11-20,56,58.15,55.95,57.65,2145376,5520
14-11-20,55.8,56.25,55.65,56,131868,698
13-11-20,55.25,55.75,54.6,55.25,1564984,1755
12-11-20,57.25,57.5,55.3,55.5,2082301,4011
11-11-20,57.65,58.5,56.7,57.3,3384875,4857
10-11-20,55.5,57,55.2,56.65,4117812,6535
09-11-20,55.5,55.55,54,54.95,1035916,1644
06-11-20,55.1,56.75,54.5,54.65,3048880,5100
05-11-20,53.5,55.8,53.5,55.35,1715398,2643
04-11-20,53.65,53.95,52.35,53.25,994843,1208
03-11-20,52.95,53.85,52.7,53.6,743547,1942
02-11-20,52.9,52.9,52.05,52.65,327814,637
30-10-20,52.55,52.9,51.65,52.15,654688,2621
29-10-20,52,53.1,51.65,52.15,1073384,3212
28-10-20,54.4,54.4,52.95,53.1,1079549,1578
27-10-20,54.45,54.45,53.05,53.7,835802,1234
26-10-20,55.25,55.65,53,53.85,1693529,3571
23-10-20,55.75,55.75,54.7,55.25,531742,1249
22-10-20,53.1,55.5,53.1,55.05,1065663,2366
21-10-20,55.1,55.3,53.25,54,387737,1034
20-10-20,54.95,56.1,54.55,54.7,737401,1268
19-10-20,54.9,55.55,53.9,55.15,1176312,2970
16-10-20,53.3,54.6,52.35,54.15,1872709,3763
15-10-20,53.6,54.75,52.7,52.95,1172716,1970
14-10-20,54.4,54.4,52.25,52.9,360407,1522
13-10-20,52.9,55.05,52.6,54.05,601500,1313
12-10-20,54.45,55.05,52.65,52.85,849852,3156
09-10-20,55.25,55.45,54.25,54.45,357171,844
08-10-20,56.1,56.4,53.8,54.95,929248,3322
07-10-20,54.95,56.9,54.45,56.15,895979,2276
06-10-20,54.4,54.7,53.85,54.55,1195481,2703
05-10-20,54.45,55.15,53.6,53.85,893178,2772
01-10-20,53.5,54.65,53.5,54.45,691156,1154
30-09-20,54,54,53,53.15,661512,2368
29-09-20,54.15,54.7,53.2,54,1224352,1874
28-09-20,53.5,54.6,53.3,54.15,1036189,1690
25-09-20,50.65,53.35,50.65,53.1,1641083,1918
24-09-20,52.8,52.95,50,50.35,1851991,5700
23-09-20,52,55.35,51.3,53.55,2998691,4680
22-09-20,53,53.5,50.45,51.55,1935084,3155
21-09-20,56,56.5,52.5,52.95,914383,2745
18-09-20,57,57.3,55.85,56.15,576797,1402
17-09-20,57.5,58.15,56.4,56.7,1888559,4669
16-09-20,58.2,58.4,56.55,56.85,1211515,1989
15-09-20,57.2,58.7,57.15,57.75,749886,1631
14-09-20,57,58.4,56.55,57.1,1684378,4084
11-09-20,56,57.05,54.8,56.7,1077813,1742
10-09-20,55.85,57.15,54.75,55.45,1054719,2292
09-09-20,55,56.3,52.5,55.65,1707159,2857
08-09-20,57.5,58,54.75,55.1,944706,2180
07-09-20,59.9,59.9,56.15,57.35,1355073,2737
04-09-20,59.9,60.3,58.25,58.8,928911,1987
03-09-20,61.1,61.6,59.9,60.7,1259192,4028
02-09-20,59.95,61.25,58.9,61,1107842,1932
01-09-20,60,60.45,58.3,59.5,2995837,3906
31-08-20,61.65,61.75,57.9,58.7,1595536,3831
28-08-20,62.45,62.45,60.3,61.15,1014446,2508
27-08-20,63,63.3,61.4,61.6,2297906,6785
26-08-20,60.5,63.25,60,62.7,6036316,7763
25-08-20,61.8,61.8,59.05,59.95,4528459,4875
24-08-20,62.5,62.7,60.15,60.9,2637113,4493
21-08-20,62.85,63.45,61.65,61.9,3957789,10448
20-08-20,56.1,62.3,56.1,61.5,6778380,17932
19-08-20,56.1,58.2,56,56.75,5186787,4787
18-08-20,56.25,56.45,54.95,55.6,2036564,2213
17-08-20,55.15,56.3,54.95,56,1379401,4183
14-08-20,56.75,57.15,54.55,54.95,1935633,3960
13-08-20,55,57.85,52.65,56.1,5048986,10914
12-08-20,52,53.6,51.2,52.95,2416815,5750
11-08-20,52,52.55,51.1,51.95,1126457,2114
10-08-20,50.45,51.9,49.85,51.45,1623448,2845
07-08-20,49.8,50.6,49.2,49.65,729979,1824
06-08-20,48.9,50.1,48.5,49.4,950940,1580
05-08-20,49.7,49.9,48.65,48.9,565651,1169
04-08-20,49.4,50.4,49.05,49.65,880964,1664
03-08-20,48.7,49.45,48.4,48.75,512286,1009
31-07-20,48,48.95,47.5,48.7,900609,2943
30-07-20,50,50.2,47.6,48.05,782273,1558
29-07-20,49.25,50.35,49.25,49.75,1080551,2993
28-07-20,49.75,50.45,48.6,49.2,641842,1235
27-07-20,48.9,50.35,47.75,49.5,1046769,1869
24-07-20,50.15,50.4,48.7,48.9,835483,1418
23-07-20,50.2,50.35,49.5,50,629835,1350
22-07-20,49,51.45,48.55,50,1634292,2981
21-07-20,49.1,49.5,48.55,48.85,846889,1358
20-07-20,49.6,49.95,48.75,49.05,1155462,3471
17-07-20,47.8,49.5,47.25,49.3,2096205,3572
16-07-20,47.65,47.65,46,46.65,1231120,1875
15-07-20,48.15,48.85,46.9,47.1,863820,1650
14-07-20,48.95,49.05,47,48.15,1534696,2878
13-07-20,51,51,49.15,49.6,1496616,5013
10-07-20,50.2,52.45,49.65,50.35,3661585,12165
09-07-20,52.25,53.2,52.15,52.55,1053434,2272
08-07-20,51.35,52.65,50.7,52.15,3263675,7388
07-07-20,50.5,51.2,50.1,50.9,2500167,6255
06-07-20,50.9,50.9,49.95,50.4,2564624,6982
03-07-20,50.7,51.15,49.5,49.95,4780535,11192
02-07-20,46.95,50.6,45.8,49.85,5878422,11380
01-07-20,44.9,46.6,44.05,46,1601212,4761
30-06-20,45.1,45.8,44.15,44.9,1485868,2798
29-06-20,46.75,47.2,44.5,44.75,1713913,2989
26-06-20,44.25,47.35,44.25,46.35,3401088,5144
25-06-20,43,44.6,43,43.9,3192279,5768
24-06-20,44.65,44.65,42.8,43.3,4727821,7089
23-06-20,43.9,44.95,42.85,44.65,1791681,3196
22-06-20,43.4,43.85,43,43.55,1881804,5073
19-06-20,43.2,43.9,42.85,43.25,1407259,2431
18-06-20,41.2,43.35,41.1,42.9,3261744,6953
17-06-20,40.8,42.2,40.2,41.35,2687851,5752
16-06-20,43.85,43.85,40.25,41.05,2767402,3701
15-06-20,42.35,43,41.75,42.4,2196691,4736
12-06-20,39,42.1,38,41.75,2237790,3648
11-06-20,42.8,42.8,40.9,41.1,1364948,2402
10-06-20,42.8,43.5,42.55,42.85,1161315,1805
09-06-20,43.5,43.65,42.25,42.8,1486394,2968
08-06-20,44.55,44.8,42.4,42.7,2261274,4999
05-06-20,44.1,44.3,42.8,43.95,2992780,5501
04-06-20,40.85,43.15,40.3,42.5,2816550,5133
03-06-20,43.5,43.75,41.1,41.8,3016752,6327
02-06-20,41.05,42.85,40.55,42.5,3729775,7316
01-06-20,37.4,40.1,37.3,39.55,2259827,4682
29-05-20,36.8,37.15,35.65,36.6,2153042,3874
28-05-20,36,37.55,36,36.9,2055369,4424
27-05-20,36,36.4,35.4,35.7,2081940,3766
26-05-20,33.6,36,33.6,35.75,3154933,6094
22-05-20,32.95,34.1,31.9,33.75,2418263,3759
21-05-20,34,34.2,32.6,32.9,1831714,4579
20-05-20,34,34.6,32.85,33.35,5238429,11246
19-05-20,32,32.8,30.4,32.35,2549511,4918
18-05-20,32.4,32.4,30.25,31.25,1297317,2754
15-05-20,31.45,31.75,29.75,31.4,1823943,3438
14-05-20,31.4,33.2,30.65,30.95,3245639,7972
13-05-20,30.65,31,28.85,30.3,1867918,3774
12-05-20,27.45,28.6,27,28.45,1200549,3486
11-05-20,29.3,29.3,27.15,27.35,1423793,3259
08-05-20,29.4,29.7,27.7,28.45,690730,2652
07-05-20,29.2,29.45,28.85,29,505437,1586
06-05-20,30.95,30.95,28.85,29,1040094,2789
05-05-20,30.9,31.5,30.35,30.45,477295,2641
04-05-20,31.9,31.9,30.05,30.15,671060,2367
30-04-20,31.15,32.15,31.1,31.75,1108652,2364
29-04-20,31.2,31.5,31,31.1,582740,1886
28-04-20,31.2,31.45,30.55,30.75,457540,1363
27-04-20,31.25,31.9,30.8,31.05,406241,1465
24-04-20,32.7,32.7,30.85,31.1,540233,2054
23-04-20,32.6,33.4,32.45,32.7,366345,1080
22-04-20,32.75,33.3,31.65,32.5,463387,1900
21-04-20,33.55,33.55,32.2,32.45,440798,1484
20-04-20,34.8,34.8,33.3,33.55,986681,3135
17-04-20,35.35,36.3,34.2,34.45,675099,2990
16-04-20,35,35.5,34.55,34.75,423285,1305
15-04-20,36.95,37.5,34.6,35.15,501379,2634
13-04-20,36.55,36.9,35,35.9,321624,1046
09-04-20,36,36.8,35.65,36.5,331164,1373
08-04-20,34.9,36.4,32.95,35.65,683057,2114
07-04-20,31.1,34.35,30.8,33.65,878282,2464
03-04-20,32,32,30,30.2,390027,2967
01-04-20,32.75,32.8,31.4,31.55,239511,2386
31-03-20,34,34,32.5,32.85,283665,2427
30-03-20,34.2,34.35,32.05,32.35,359200,1390
27-03-20,35.95,36.9,33.25,33.95,531375,1580
26-03-20,35,35.75,33.5,35.25,501817,1459
25-03-20,34.15,35.65,34,35,316761,1312
24-03-20,32.75,34.95,31.3,34.45,507401,2908
23-03-20,34.5,34.7,31.45,32.95,422207,1907
20-03-20,34.55,37.5,34.1,36.8,620653,2294
19-03-20,34.4,36.7,32.7,34.2,1036922,2992
18-03-20,39.75,40,34.8,35.2,1444699,2404
17-03-20,41,42.4,38.55,38.95,499513,1779
16-03-20,41.9,41.9,39.8,40.4,342027,1808
13-03-20,39,42.85,36.45,42.15,2871997,5693
12-03-20,36.45,41.2,34,40.5,2151719,4674
11-03-20,39.5,40.1,37.75,37.95,601913,2055
09-03-20,43,43,38.45,39.65,653071,2376
06-03-20,43,44.15,41.55,43.05,414019,1568
05-03-20,44.3,45.8,43.9,44.25,741854,1656
04-03-20,44.45,45.2,43.4,44.65,331503,1649
03-03-20,44.8,44.8,43.45,44.45,406535,970
02-03-20,47,47.8,43.3,43.65,1535801,2936
28-02-20,48,48.55,46.1,46.65,1659435,2376
27-02-20,49.25,49.8,47.5,49.35,685102,2142
26-02-20,51.3,51.3,48.85,49.3,703930,2850
25-02-20,51.85,52.9,51.5,51.7,225007,1363
24-02-20,51.9,52.65,50.9,51.85,551374,1348
20-02-20,51.8,52.6,50.95,51.6,986973,2212
19-02-20,52.8,52.8,50.8,51.4,351169,1467
18-02-20,52.25,52.25,50.55,51.5,353266,1265
17-02-20,54,54.1,51.55,51.7,309986,1134
14-02-20,55.8,55.8,53.55,53.75,298379,1057
13-02-20,55.75,55.75,54.8,55.25,218559,1065
12-02-20,57.35,58.25,55.85,56,220317,753
11-02-20,57.9,57.9,56.7,57.65,116068,478
10-02-20,57.9,58,55.95,56.95,181162,819
07-02-20,57.75,58.15,57.05,57.95,141047,554
06-02-20,57.3,58.15,56.85,57.75,185821,1272
05-02-20,56.9,57.4,56.2,57.2,283407,1871
04-02-20,55.5,56.85,54.65,56.45,659412,1952
03-02-20,55.7,56.4,54.65,54.9,277165,1202
01-02-20,57.95,58.35,54.8,55.25,421530,1839
31-01-20,60.6,60.6,57.7,58.05,333660,1128
30-01-20,60.9,61.55,59.05,60.25,609206,2479
29-01-20,61,62,60.35,60.9,244794,996
28-01-20,60.6,61.75,60.3,60.7,244084,972
27-01-20,61.1,62,60.3,60.6,226866,995
24-01-20,60.15,61.95,59.7,61.15,340869,1439
23-01-20,59.15,60.25,59.05,60.15,174485,927
22-01-20,59.6,60.05,58.95,59.15,299275,1258
21-01-20,59.9,60.25,59.25,59.55,138200,564
20-01-20,61.6,61.75,59.9,60.2,254689,1031
17-01-20,61,62.1,60.85,61.5,343882,1335
16-01-20,61.75,61.75,60.35,60.95,294320,1007
15-01-20,60.5,61.1,59.9,60.95,434128,1533
14-01-20,59.85,60.3,59.2,60.2,394718,1416
13-01-20,59.9,59.9,58.9,59.4,382675,1417
10-01-20,57.8,59.5,57.4,58.95,606781,2828
09-01-20,56.9,58.2,56.8,57.8,519002,1555
08-01-20,56.2,56.7,55.75,56.25,283961,910
07-01-20,57.3,57.45,56.05,56.6,265443,1363
06-01-20,57.7,57.7,56,56.75,290157,956
03-01-20,58.35,58.5,57.35,57.75,386377,1333
02-01-20,57.85,58.15,56.85,58,477363,1533
01-01-20,56.7,57.85,56.7,57.65,319515,1387
31-12-19,56.5,56.8,56.3,56.5,144028,694
30-12-19,56.2,56.7,55.75,56.45,221313,694
27-12-19,55.2,56.25,55.2,56.15,208840,669
26-12-19,56,56.3,55,55.1,234580,790
24-12-19,56.4,56.6,55.8,56.05,359467,904
23-12-19,55.1,55.95,55,55.75,383406,1313
20-12-19,55.5,56.05,55.3,55.4,278426,761
19-12-19,55,56.05,54.6,55.7,446926,1509
18-12-19,56.1,56.25,54.8,55.5,383405,1394
17-12-19,55.35,56.2,54.75,56.05,460336,1721
16-12-19,54.75,55.55,54.1,55,576446,1628
13-12-19,53.65,54.65,52.9,54,624645,1699
12-12-19,53.1,53.75,52.6,53.4,289824,1412
11-12-19,51.5,53.1,51.25,52.8,370293,1308
10-12-19,52.85,53.75,51.05,51.4,974062,2689
09-12-19,53.5,54.6,52.35,52.45,517011,1856
06-12-19,56,56.7,53.25,53.5,918723,2947
04-12-19,55.4,56.1,55,55.85,239279,1138
03-12-19,56.75,56.75,55.05,55.5,315189,1669
02-12-19,56.6,57.2,55.55,56.3,422628,2171
29-11-19,57,58.95,56.6,57.4,955883,3406
28-11-19,57,57,55.7,56.45,706554,1430
27-11-19,56.9,57.45,56.55,56.8,285597,1374
26-11-19,56.25,57.1,55.4,56.6,1843385,1523
25-11-19,55.15,56.15,55.15,56,343100,1307
22-11-19,55.5,55.8,54.75,55.15,577470,1728
21-11-19,55.75,56.15,54.6,54.8,278090,1247
20-11-19,55.65,55.85,55.1,55.45,243476,1459
19-11-19,56,56.35,55.35,55.75,250867,973
18-11-19,54.9,56.55,54.35,55.9,479478,1429
15-11-19,55,55.4,54.25,54.5,332740,1301
14-11-19,55.5,55.9,54.4,54.65,607728,1819
13-11-19,58,58,55.05,55.4,675786,3409
11-11-19,61,61,56.6,57.3,11806318,6608
08-11-19,58.8,60.35,58.75,59.5,1159145,2880
07-11-19,59.25,59.3,57.55,58.65,566109,1724
06-11-19,59.4,59.4,57.95,58.95,349270,1039
05-11-19,60,60.15,58.45,58.65,444478,1126
04-11-19,59.85,60.8,59.25,59.6,517062,2417
01-11-19,59.45,60.25,59.15,59.55,408061,1840
31-10-19,58.8,59.7,58.4,59.3,416732,1587
30-10-19,58.8,58.95,58.3,58.55,305547,864
29-10-19,58.85,59.25,58,58.4,1988137,2724
27-10-19,58.75,58.75,58,58.3,45573,323
25-10-19,59.25,59.3,57.3,57.65,371900,984
24-10-19,61.9,61.9,58.55,59.1,780605,1816
23-10-19,59.6,62.2,59.25,61.15,1599465,3979
22-10-19,59.85,60.7,58.9,59.25,1359961,2477
18-10-19,60,60.5,59.25,60.05,1020501,1382
17-10-19,58.2,60.15,57.6,59.8,950076,1457
16-10-19,59.5,59.9,57.85,58.05,932951,1566
15-10-19,59.8,60.3,59.15,59.7,435005,1315
14-10-19,60.95,61.4,59.6,59.8,640286,947
11-10-19,61.7,61.95,60.75,61.05,543945,1204
10-10-19,61.75,62.2,60.5,61.5,2375406,2364
09-10-19,59,61.9,58.05,61.45,2384796,3746
07-10-19,58.65,59,56.75,58.3,3077358,2677
04-10-19,59.85,59.85,57.8,58.05,403628,898
03-10-19,59.45,59.7,58.7,59.35,729994,1191
01-10-19,62.95,62.95,58.8,59.4,1432934,11603
30-09-19,62.2,62.9,61.05,62.5,1462841,1725
27-09-19,63.7,63.9,61.95,62.1,705916,1313
26-09-19,64,64.2,62.8,63.7,1128855,1531
25-09-19,65.7,66.45,62.9,63.65,1425860,2465
24-09-19,67.95,67.95,65.4,66.25,927531,1815
23-09-19,68,68.8,65.75,67.25,1187434,2402
20-09-19,65.1,68.45,64.1,67,2488103,4337
19-09-19,64.2,65.1,63.65,64.65,9841620,2874
18-09-19,64.8,64.8,63.1,64.05,1730802,2162
17-09-19,64.25,64.55,63.45,63.95,1668777,1850
16-09-19,63.95,64.5,63.2,64.35,1580259,2190
13-09-19,64.5,64.65,62.5,64.3,2712960,2552
11-09-19,59,61.65,58.8,61.2,624524,1937
09-09-19,58.5,61.7,57.85,60.3,1093879,2321
06-09-19,55.4,59.35,55.25,58,1820496,2589
05-09-19,54,55.7,53.9,55.3,521446,1097
04-09-19,54.9,54.9,53,54.15,788064,1385
03-09-19,55.35,57,53.7,53.85,603493,1322
30-08-19,55.6,57,55,56.75,619799,1534
29-08-19,55.4,56,54.5,55.6,607708,2089
28-08-19,55.3,55.8,53.8,55.35,454058,1778
27-08-19,56,56.8,55.15,55.35,1002263,1629
26-08-19,55,56.4,53.9,55.95,937010,1856
23-08-19,53.45,55.8,52.4,54.45,1279787,2608
22-08-19,51.1,55.7,50.7,53.45,1125896,3411
21-08-19,55.7,55.95,50.4,51.1,1122580,2857
20-08-19,57.2,57.2,54.1,55.95,659583,1701
19-08-19,56.8,58.05,56.1,57.25,408448,1168
16-08-19,55.5,56.35,54.05,56.1,363694,1459
14-08-19,56.1,56.4,54.7,55.5,526632,1166
13-08-19,58.3,58.3,55.4,55.8,638708,1577
09-08-19,58.85,59.7,56.8,57.55,589306,1519
08-08-19,59.25,59.6,57.2,57.8,1170811,2486
07-08-19,59.3,60.25,58.7,59.05,386539,1343
06-08-19,57.95,59.95,57.95,59.3,240102,1188
05-08-19,58.75,59,57.35,57.95,403327,1342
01-08-19,60.5,60.85,58.55,59.9,629269,1603
31-07-19,58.5,60.8,57.9,60.55,427550,1366
30-07-19,62,62.05,58.4,58.9,530395,1955
29-07-19,62.3,63.25,61.1,61.4,407833,1585
26-07-19,61.35,63.1,61,62.3,358426,1159
25-07-19,63.65,64.3,61.3,61.55,501309,1604
24-07-19,65.7,66.75,62.95,63.75,4134015,3310
23-07-19,67.25,67.95,66.05,66.25,244834,802
22-07-19,66.8,67.3,65.5,67.05,268289,871
19-07-19,66.05,67.25,65.2,66.45,389191,1277
18-07-19,70,70,66.1,66.35,354974,1255
17-07-19,68.35,69.65,67.95,69,342979,1111
16-07-19,68.75,69.4,67.7,67.95,219736,779
15-07-19,68.35,69.15,67.05,68.6,293333,896
12-07-19,67.95,69,67.2,68.15,263980,1249
11-07-19,66.75,67.8,66.65,67.4,216282,739
10-07-19,69.05,69.05,66.2,66.4,259891,1012
09-07-19,68.5,69,67.85,68.45,327558,969
08-07-19,70.45,70.45,67.35,68.35,414888,1289
05-07-19,72.15,72.4,70.25,70.65,339162,1073
04-07-19,73.3,74.05,71.75,72.15,519877,1432
03-07-19,73.4,74.05,71.6,73.9,743388,2434
02-07-19,71,73.35,70.1,73.1,918199,3256
01-07-19,69.3,70.95,68.2,70.7,608906,2078
28-06-19,69,70.15,68.1,69,540397,2487
27-06-19,68.6,69.3,68.35,68.65,233186,798
26-06-19,66.95,69.45,66.8,68.6,542902,2786
25-06-19,65.15,67.55,64.7,66.15,989314,2509
24-06-19,65.7,65.7,64.5,65.05,176387,594
21-06-19,64.6,65.5,64.1,65.2,982262,1460
20-06-19,63.5,64.8,63,64.65,216962,627
19-06-19,64.9,65.35,63.2,63.55,372830,1144
18-06-19,64.75,65.05,64,64.35,283910,695
17-06-19,65.8,65.8,63.75,64.55,963703,1716
14-06-19,66,66.85,64.85,65.15,1432272,2335
13-06-19,66.85,66.85,65.15,66,1077809,1391
12-06-19,66.8,67.75,66,66.35,346847,1055
11-06-19,66.4,67.2,66,66.3,510430,1467
10-06-19,66.5,67.3,66,66.35,346740,1515
07-06-19,65.5,66.25,64,66.1,359903,1469
06-06-19,68.4,68.4,64.85,65.25,491994,1468
04-06-19,67.45,67.95,66.45,66.75,555077,1654
03-06-19,68.95,69.1,67.75,68.4,355929,1338
31-05-19,70.2,70.75,68,68.85,773634,2260
30-05-19,68.95,70.7,67.95,70.3,1232205,3435
29-05-19,70.9,70.9,68.25,68.6,493429,1522
28-05-19,71,71.15,70,70.45,1380929,1357
27-05-19,67,70.9,67,70.65,2258310,7870
24-05-19,64.7,68,64.7,67.7,847989,2286
23-05-19,65.5,67.45,64.25,64.6,1011128,2296
22-05-19,64.8,65.2,64.15,64.85,448932,1700
21-05-19,66.45,66.45,63.6,64.4,1646439,2885
20-05-19,63,67.85,63,65.85,1074330,2977
17-05-19,61.25,61.8,61,61.45,324881,1048
16-05-19,61.85,61.9,60.9,61.2,663893,1599
15-05-19,63,63.7,61,61.35,411387,1117
14-05-19,62,63.85,61.45,63,949768,1516
13-05-19,63.3,64.35,62,62.65,426025,1769
10-05-19,64.25,65.3,63.65,63.9,479052,1518
09-05-19,65,65,63.95,64.45,270650,1108
08-05-19,64.25,64.8,63.2,64.5,347287,1519
07-05-19,66.3,66.4,64.1,64.4,600661,1724
06-05-19,66.95,66.95,65.6,65.85,449316,1125
03-05-19,65.75,68.1,65.5,67.15,767102,2288
02-05-19,68.15,68.2,66.35,66.75,701285,2366
30-04-19,67.6,68,66.6,67.75,435922,1807
26-04-19,67.9,68.25,67.15,67.7,464169,1157
25-04-19,69.4,69.5,67.2,67.5,1685239,2507
24-04-19,68.5,68.75,67.4,67.75,779805,2118
23-04-19,69.3,69.7,68.15,68.3,324874,1955
22-04-19,70.2,70.35,68.9,69.2,372773,1093
18-04-19,71.35,71.6,70,70.55,466951,1201
16-04-19,71.9,71.95,71.2,71.35,511713,1171
15-04-19,73.2,73.2,71.25,71.35,2344257,2190
12-04-19,73.15,74.5,71.9,72.95,1790419,3106
11-04-19,71.05,73.15,70.65,72.45,1648960,2470
10-04-19,72.8,73.15,70.75,71,628070,2155
09-04-19,72,73,70.8,72.5,2492066,3072
08-04-19,73.3,73.35,70.65,71.9,2222037,2912
05-04-19,71.05,72.95,70.5,71.75,2086373,2446
04-04-19,70.65,72.25,70.5,70.9,401004,1183
03-04-19,74.9,74.9,71.25,71.65,536303,1755
02-04-19,74.8,76.9,73.2,74.2,1104673,3504
01-04-19,74.4,75.9,73.7,74.2,587373,2791
29-03-19,72.4,74.55,72.1,73.8,820836,2374
28-03-19,71.95,72.6,71.05,71.4,617317,1446
27-03-19,72.25,72.8,71.1,71.35,281790,1365
26-03-19,72.9,72.95,70.7,71.25,577233,1046
25-03-19,72.95,73.1,71.25,71.9,499322,1955
22-03-19,72.05,73.75,72.05,72.5,442489,1721
20-03-19,73,73.8,71.75,72,260327,868
19-03-19,73.1,74.25,72.75,73,319146,1030
18-03-19,74,74.75,72.7,73,368575,1218
15-03-19,73.35,74.65,72.65,73.75,647552,1745
14-03-19,74,74,72.7,73,1277809,1554
12-03-19,72.05,73.9,72,73.35,1814177,2152
11-03-19,70.2,72.1,70.2,71.7,2934046,1610
08-03-19,70.55,70.65,68.95,69.85,624544,1508
07-03-19,72.8,73.9,70.25,70.55,1083119,3067
06-03-19,69.7,72.15,69.15,71.3,1046242,4216
05-03-19,67.5,69.6,67.35,69,1385505,2688
01-03-19,66,67.75,65.55,67.05,876517,2014
28-02-19,65.85,66.2,65.1,65.35,172070,3673
27-02-19,66.9,67.9,65.15,65.5,383973,1225
26-02-19,66.2,67.25,64.1,66.3,590233,1690
25-02-19,67.1,67.45,66.5,66.65,113802,558
22-02-19,67.4,67.8,66.85,67.1,181625,567
21-02-19,67.5,68.1,66.9,67.4,179094,795
